epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8882,1.73933,2.19653,1.43666,0.46269,0.58856,0.49262,0.24612,1.64339,1.96107,1.63512,0.000551781,0.000551781,0.000551781
2,69.8643,1.69836,1.48348,1.46034,0.6083,0.59634,0.60201,0.27804,1.80679,1.61986,1.77078,0.00108552,0.00108552,0.00108552
3,103.606,1.71647,1.45386,1.4608,0.66017,0.46489,0.56319,0.25978,1.93645,1.69361,1.88592,0.00159725,0.00159725,0.00159725
4,137.118,1.6571,1.31196,1.40779,0.64027,0.51055,0.58961,0.28331,1.80382,1.56789,1.70272,0.00156798,0.00156798,0.00156798
5,170.573,1.63729,1.25452,1.41649,0.71816,0.621,0.72455,0.37388,1.67654,1.34503,1.61744,0.00153497,0.00153497,0.00153497
6,203.902,1.57031,1.16973,1.38332,0.76293,0.69796,0.78272,0.40723,1.66917,1.2455,1.61895,0.00150197,0.00150197,0.00150197
7,237.28,1.53565,1.10755,1.33627,0.67223,0.70156,0.74273,0.38298,1.67978,1.19696,1.58698,0.00146896,0.00146896,0.00146896
8,271.207,1.49535,1.04528,1.32318,0.75233,0.75739,0.81784,0.44083,1.56679,1.0618,1.55613,0.00143595,0.00143595,0.00143595
9,305.536,1.46894,0.99506,1.30449,0.78308,0.76103,0.8211,0.45573,1.53828,1.03633,1.51283,0.00140295,0.00140295,0.00140295
10,339.555,1.41913,0.96673,1.27395,0.71103,0.77178,0.78229,0.41244,1.62652,1.15903,1.60132,0.00136994,0.00136994,0.00136994
11,373.58,1.41633,0.94372,1.26748,0.72333,0.77843,0.81103,0.44033,1.52701,1.03842,1.5066,0.00133693,0.00133693,0.00133693
12,407.7,1.3791,0.90979,1.25256,0.70658,0.78725,0.82204,0.47208,1.47591,1.04266,1.44961,0.00130393,0.00130393,0.00130393
13,441.749,1.36664,0.88362,1.24078,0.73595,0.75856,0.84421,0.48422,1.46392,1.03854,1.47124,0.00127092,0.00127092,0.00127092
14,475.859,1.34612,0.85986,1.22493,0.77077,0.80842,0.84252,0.48817,1.52483,1.06669,1.4782,0.00123791,0.00123791,0.00123791
15,510.063,1.33374,0.85135,1.21826,0.89926,0.76441,0.91106,0.50869,1.43874,0.89131,1.44847,0.00120491,0.00120491,0.00120491
16,544.15,1.29649,0.81332,1.2,0.84812,0.80975,0.89819,0.51646,1.46613,0.85985,1.46646,0.0011719,0.0011719,0.0011719
17,578.273,1.2843,0.80038,1.1936,0.81875,0.84086,0.90279,0.53085,1.39806,0.84983,1.3891,0.00113889,0.00113889,0.00113889
18,612.382,1.27374,0.77367,1.18287,0.81075,0.82425,0.89501,0.52316,1.41838,0.85544,1.41379,0.00110589,0.00110589,0.00110589
19,646.279,1.26412,0.76247,1.18792,0.85928,0.7646,0.87481,0.51057,1.47285,0.91189,1.46945,0.00107288,0.00107288,0.00107288
20,680.228,1.24194,0.7397,1.16524,0.83693,0.80192,0.87517,0.53157,1.40879,0.88676,1.41817,0.00103987,0.00103987,0.00103987
21,714.262,1.20944,0.7257,1.1545,0.724,0.83533,0.86418,0.50701,1.40974,0.94386,1.43778,0.00100687,0.00100687,0.00100687
22,748.308,1.19862,0.70849,1.15308,0.84417,0.8378,0.87373,0.52,1.43272,0.86011,1.40639,0.000973861,0.000973861,0.000973861
23,782.193,1.19262,0.69533,1.13675,0.90156,0.81028,0.88141,0.53793,1.38205,0.81844,1.39728,0.000940855,0.000940855,0.000940855
24,816.341,1.18825,0.70025,1.13878,0.83431,0.83497,0.87795,0.52421,1.41662,0.87528,1.42452,0.000907848,0.000907848,0.000907848
25,850.267,1.17092,0.68714,1.12956,0.85346,0.8541,0.90037,0.52207,1.44188,0.82333,1.42571,0.000874842,0.000874842,0.000874842
26,884.295,1.1612,0.66883,1.1186,0.88695,0.84823,0.91789,0.54374,1.42257,0.76874,1.4175,0.000841835,0.000841835,0.000841835
27,918.522,1.1492,0.67967,1.12293,0.84244,0.8775,0.92199,0.5437,1.40659,0.7762,1.42087,0.000808828,0.000808828,0.000808828
28,952.516,1.12827,0.64628,1.10712,0.79972,0.8889,0.90997,0.54083,1.44108,0.80197,1.43378,0.000775822,0.000775822,0.000775822
29,986.681,1.12737,0.64284,1.10217,0.86809,0.8487,0.90171,0.5486,1.40107,0.81241,1.39912,0.000742815,0.000742815,0.000742815
30,1020.69,1.09029,0.61266,1.09345,0.84078,0.84199,0.90904,0.54962,1.38657,0.77877,1.40003,0.000709809,0.000709809,0.000709809
31,1054.82,1.09085,0.615,1.08788,0.84911,0.87872,0.9335,0.5692,1.37336,0.7292,1.40629,0.000676802,0.000676802,0.000676802
32,1088.9,1.07786,0.60466,1.0815,0.88778,0.82228,0.9131,0.56776,1.34717,0.74014,1.37563,0.000643795,0.000643795,0.000643795
33,1122.8,1.07211,0.6054,1.07686,0.87141,0.86743,0.91988,0.55476,1.38192,0.79144,1.37575,0.000610789,0.000610789,0.000610789
